ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CAR,ATL,,,,,,,,,,,,,,,
2,GB,ATL,,,,,,,,,,,,,,,
3,DET,DET,,,,,,,,,,,,,,,
4,JAX,LON,,,,,,,,,,,,,,,
5,HOU,ATL,,,,,,,,,,,,,,,
6,WAS,ATL,,,,,,,,,,,,,,,
7,TB,TB,,,,,,,,,,,,,,,
8,TEN,TEN,,,,,,,,,,,,,,,
9,MIN,ATL,,,,,,,,,,,,,,,
10,ARI,ARI,,,,,,,,,,,,,,,
12,NO,ATL,,,,,,,,,,,,,,,
13,NYJ,NY,,,,,,,,,,,,,,,
14,TB,ATL,,,,,,,,,,,,,,,
15,CAR,CAR,,,,,,,,,,,,,,,
16,IND,ATL,,,,,,,,,,,,,,,
17,CHI,CHI,,,,,,,,,,,,,,,
18,NO,NO,,,,,,,,,,,,,,,
