ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,PHI,NE,,,,,,,,,,,,,,,
2,MIA,NE,,,,,,,,,,,,,,,
3,NYJ,NY,,,,,,,,,,,,,,,
4,DAL,DAL,,,,,,,,,,,,,,,
5,NO,NE,,,,,,,,,,,,,,,
6,LV,LV,,,,,,,,,,,,,,,
7,BUF,NE,,,,,,,,,,,,,,,
8,MIA,MIA,,,,,,,,,,,,,,,
9,WAS,NE,,,,,,,,,,,,,,,
10,IND,FRA,,,,,,,,,,,,,,,
12,NYG,NY,,,,,,,,,,,,,,,
13,LAC,NE,,,,,,,,,,,,,,,
14,PIT,PIT,,,,,,,,,,,,,,,
15,KC,NE,,,,,,,,,,,,,,,
16,DEN,DEN,,,,,,,,,,,,,,,
17,BUF,BUF,,,,,,,,,,,,,,,
18,NYJ,NE,,,,,,,,,,,,,,,
