ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,BUF,NY,,,,,,,,,,,,,,,
2,DAL,DAL,,,,,,,,,,,,,,,
3,NE,NY,,,,,,,,,,,,,,,
4,KC,NY,,,,,,,,,,,,,,,
5,DEN,DEN,,,,,,,,,,,,,,,
6,PHI,NY,,,,,,,,,,,,,,,
8,NYG,NY,,,,,,,,,,,,,,,
9,LAC,NY,,,,,,,,,,,,,,,
10,LV,LV,,,,,,,,,,,,,,,
11,BUF,BUF,,,,,,,,,,,,,,,
12,MIA,NY,,,,,,,,,,,,,,,
13,ATL,NY,,,,,,,,,,,,,,,
14,HOU,NY,,,,,,,,,,,,,,,
15,MIA,MIA,,,,,,,,,,,,,,,
16,WAS,NY,,,,,,,,,,,,,,,
17,CLE,CLE,,,,,,,,,,,,,,,
18,NE,NE,,,,,,,,,,,,,,,
